timestamp,demand_mwh,temperature_c,humidity_pct,wind_speed_kmh,solar_radiation_wm2,precipitation_mm
2021-07-31 23:00:00-07:00,31006.0,21.933333333333334,61.0,11.5,0.0,0.0
2021-08-01 00:00:00-07:00,28838.0,21.211111111111112,63.66666666666666,10.622222222222222,0.0,0.0
2021-08-01 01:00:00-07:00,26722.0,20.444444444444443,65.66666666666667,9.922222222222222,0.0,0.0
2021-08-01 02:00:00-07:00,25368.0,19.75555555555556,68.0,9.711111111111112,0.0,0.0
2021-08-01 03:00:00-07:00,24237.0,19.11111111111111,70.0,9.144444444444444,0.0,0.0
2021-08-01 04:00:00-07:00,23318.0,18.55555555555556,71.33333333333333,9.22222222222222,0.0,0.0
2021-08-01 05:00:00-07:00,22867.0,18.55555555555556,71.0,8.755555555555555,0.0,0.0
2021-08-01 06:00:00-07:00,22944.0,18.166666666666668,72.33333333333333,9.355555555555556,0.0,0.0
2021-08-01 07:00:00-07:00,22536.0,18.522222222222226,71.44444444444444,8.555555555555555,33.55555555555556,0.0
2021-08-01 08:00:00-07:00,22534.0,19.77777777777778,67.0,7.644444444444444,176.88888888888889,0.0
2021-08-01 09:00:00-07:00,23206.0,21.655555555555555,58.888888888888886,7.477777777777778,374.3333333333333,0.0
2021-08-01 10:00:00-07:00,23644.0,23.822222222222223,51.55555555555556,8.822222222222223,569.2222222222222,0.0
2021-08-01 11:00:00-07:00,24385.0,26.05555555555556,44.888888888888886,10.788888888888888,747.1111111111111,0.0
2021-08-01 12:00:00-07:00,25644.0,28.022222222222226,39.77777777777778,12.455555555555556,870.2222222222222,0.0
2021-08-01 13:00:00-07:00,26896.0,29.65555555555556,36.22222222222222,14.52222222222222,947.1111111111112,0.0
2021-08-01 14:00:00-07:00,28595.0,30.577777777777776,34.0,16.5,956.5555555555557,0.0
2021-08-01 15:00:00-07:00,30445.0,31.0,32.888888888888886,18.288888888888888,904.3333333333334,0.0
2021-08-01 16:00:00-07:00,32211.0,30.855555555555554,33.666666666666664,18.98888888888889,794.2222222222222,0.0
2021-08-01 17:00:00-07:00,34018.0,29.75555555555556,37.0,19.3,636.6666666666666,0.0
2021-08-01 18:00:00-07:00,35810.0,28.72222222222222,40.0,18.72222222222222,446.1111111111111,0.0
2021-08-01 19:00:00-07:00,36675.0,27.03333333333333,45.22222222222222,17.91111111111111,240.22222222222223,0.0
2021-08-01 20:00:00-07:00,35964.0,25.05555555555556,50.77777777777778,15.322222222222225,62.66666666666666,0.0
2021-08-01 21:00:00-07:00,34773.0,23.577777777777776,53.44444444444444,15.42222222222222,0.6666666666666666,0.0
2021-08-01 22:00:00-07:00,33149.0,22.3,56.44444444444444,13.466666666666669,0.0,0.0
2021-08-01 23:00:00-07:00,30527.0,21.25555555555556,59.22222222222222,11.822222222222225,0.0,0.0
2021-08-02 00:00:00-07:00,27942.0,20.53333333333333,61.11111111111112,10.877777777777778,0.0,0.0
2021-08-02 01:00:00-07:00,26162.0,19.866666666666667,62.77777777777778,10.422222222222222,0.0,0.0
2021-08-02 02:00:00-07:00,25207.0,19.33333333333333,63.888888888888886,9.766666666666666,0.0,0.0
2021-08-02 03:00:00-07:00,24210.0,18.522222222222226,66.55555555555556,9.8,0.0,0.0
2021-08-02 04:00:00-07:00,23703.0,17.933333333333334,68.44444444444444,10.166666666666666,0.0,0.0
2021-08-02 05:00:00-07:00,23166.0,18.2,70.22222222222223,9.466666666666669,0.0,0.0
2021-08-02 06:00:00-07:00,23913.0,17.744444444444444,72.22222222222223,8.855555555555556,0.0,0.0
2021-08-02 07:00:00-07:00,25330.0,18.05555555555556,70.11111111111111,7.833333333333333,33.77777777777778,0.0
